date,bloomberg_url,title,author,content,article_date
2022-01-18,https://www.bloomberg.co.jp/news/articles/2022-01-18/R5XFH3DWLU6F01,米株式市場「調整局面」へ－カーライル共同創業者ルーベンスタイン氏,著者情報なし,"米カーライル・グループ共同創業者のデービッド・ルーベンスタイン氏は18日、米金融当局が利上げの準備をする一方で、しばらくの間はインフレ高進の現実が続くとして、株式市場は調整局面に向かっているとの考えを示した。
ルーベンスタイン氏はニューヨークで開催されたブルームバーグ・イヤー・アヘッド・サミットでのインタビューで、「われわれは調整局面に向かいつつある。市場ではかなり長期間にわたり活況が続き、われわれは基本的にフリーマネーを享受してきた」と話した。
その上で、米経済は「全般的に良好な状態」にあるものの、米金融当局者からは年内４回から５回の利上げを示唆する発言があり、資産価格に下降圧力がかかるのは不可避だと指摘。「市場はそれを見込んでいるが、それが現実となるまで、実際の調整はないと考える」と語った。
また、米インフレ率は年内に３－４％に鈍化が予想される一方で、「それでも過去の水準の倍であり、多くの人々が神経質になっている」とし、「インフレはわれわれが共存しなければならないコストだろう」とコメント。「1970年代ほどの事態の悪化はないだろうが、当面は２％に落ち着くことはないだろう。新型コロナウイルス禍とサプライチェーンの問題が続く限りこうした状況は持続する」との見通しを示した。
‘We’re Due for a Correction,’ Carlyle Co-Founder Rubenstein Says（抜粋）",2022年1月19日 8:57 JST
2022-01-18,https://www.bloomberg.co.jp/news/articles/2022-01-18/R5XJFXT0G1KW01,商船三井のダイビルへのＴＯＢ成立、完全子会社へ,著者情報なし,"商船三井は19日、ダイビルの完全子会社化を目的とした株式公開買い付け（ＴＯＢ）で、応募株数が下限に達したため、予定通り全株の買い付けを行うと発表した。
基の情報をご覧になるにはこちらをクリックしてください
これはブルームバーグ・オートメーションを利用して作成した記事です。",2022年1月19日 8:48 JST
2022-01-18,https://www.bloomberg.co.jp/news/articles/2022-01-18/R5XENWDWLU6A01,アリババのＡＤＲが下落、米当局がクラウド部門を調査との報道で,著者情報なし,"18日の米株式市場で中国の電子商取引大手アリババグループの米国預託証券（ＡＤＲ）は一時5.1％下落。米当局が同社の世界最大級のクラウドサービスが国家安全保障に脅威をもたらす可能性について調査しているとロイター通信が伝えた。
米商務省は同社のアリクラウド部門が顧客データを保存・処理する方法や、中国がその情報にアクセスできるかどうか調べていると、ロイターがこの問題について説明を受けた関係者３人を引用して報じた。今回の調査の対象には個人情報や知的財産も含まれるという。アリババはロイターに対してコメントを控えた。
この報道を受け、米上場の中国テクノロジー株も下落。百度（バイドゥ）やＪＤドットコム（京東）のＡＤＲが値下がりした。米上場の大手中国企業で構成されるナスダック・ゴールデン・ドラゴン中国指数は一時2.8％安となった。
原題：Alibaba Slides on Report U.S. is Probing Cloud Arm for Risks、US-Listed China Stocks Fall on Alibaba Probe, Tech Selloff (1) （抜粋）",2022年1月19日 7:48 JST
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5Z2A0DWLU6C01,コロナワクチン接種より感染による免疫力強い、デルタ拡大期－米調査,著者情報なし,"新型コロナウイルスのデルタ変異株拡大期においては、ワクチン接種よりも過去の新型コロナ感染によって得られた免疫力の方が強かったことが米政府調査で明らかになった。
米疾病対策センター（ＣＤＣ）がカリフォルニア、ニューヨーク両州のデータを分析した調査によると、デルタ株が昨夏に拡大する前は、感染歴のないワクチン接種者が陽性となる確率は感染歴があるワクチン未接種者の約半分だった。ところが昨年６月終盤から７月にかけてデルタ株が主流になった後は逆に、感染歴があるワクチン未接種者が陽性になる確率の方が低くなった。
この調査結果は、感染歴を理由にワクチン接種を拒否する人々の主張の論拠にもなると考えられ、ワクチン接種を巡る議論に新たな波紋を広げる可能性がある。しかし、調査を手掛けた研究者らは感染力が強いオミクロン変異株については当てはまらないと指摘した。
調査では2021年５－11月の成人のワクチン接種・未接種者のデータを分析した。
Prior Cases Gave More Immunity Than Shots as Delta Rose (1)（抜粋）
— 取材協力 Robert Langreth",2022年1月20日 8:45 JST
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5ZBHET1UM0X01,金正恩氏、核実験やＩＣＢＭ発射実験の再開示唆－米の敵対行為に対抗,著者情報なし,"北朝鮮の最高指導者、金正恩朝鮮労働党総書記は、核兵器や大陸間弾道ミサイル（ＩＣＢＭ）の開発を巡る自主的なモラトリアムを解除する可能性を示唆した。米国の「敵対」行為を理由に挙げており、米朝間の緊張がさらに高まる恐れがある。
国営朝鮮中央通信（ＫＣＮＡ）が20日に伝えたところによれば、金総書記は19日に開催された党政治局会議に出席。「米国の敵対政策と軍事的脅威がもはや看過できない危険界線に達した」とし、北朝鮮は米国との信頼構築措置の再考に加え、暫定的に中止した試験の再開を検討するとした。
政治局は「米国の敵対行為を確実に制圧できる一層強力な物理的手段を発展させるため、国防政策課題を各担当部門にあらためて割り当てた」とし、「われわれが自主的に取った信頼構築措置を全面的に再考し、暫定的に停止した全ての活動の再稼働を迅速に検討するよう該当部門に指示した」という。
北朝鮮は2018年に全ての核実験とＩＣＢＭ発射実験を凍結すると宣言していた。
原題：Kim Jong Un Rips U.S., Signals Resumption of Major Weapons Tests（抜粋）",2022年1月20日 8:38 JST
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5Z3YZT0AFB401,ソフトバンクＧ出資ハビ、メキシコ不動産ハイテクスタートアップ買収,著者情報なし,"ソフトバンクグループが出資する南米コロンビアの不動産スタートアップ、ハビは同業のメキシコ企業を買収したと発表した。不動産ハイテク企業の間で注目が高まっているメキシコで、テクノロジーを活用した最大の住宅用不動産バイヤーとなる。
ハビが買収したのはオンライン市場プロピエダデス・ドット・コムと不動産仲介業者トゥ・カントンの親会社OKOL。買収額は明らかにされていない。ハビは既にメキシコ市で事業を展開しているが、同社にとって初となる今回の買収でメキシコ全域が事業の対象地域となる。
共同創業者のブリン・マクノルティー・ロハス最高経営責任者（ＣＥＯ）はインタビューで、「われわれは統合してメキシコ最大のアイバイヤーになる」と語った。
ハビは昨年６月、ソフトバンクＧを中心とするシリーズＢ資金調達ラウンドで１億ドル（現在のレートで約114億円）を集めた。タイガー・グローバル・マネジメントや８ＶＣ、ホームブルーも参加した。マクノルティー氏は新たな増資を短期的には計画していないと述べた。
ソフバンクＧ中南米ファンド、不動産のＨａｂｉへの１億ドル投資主導
SoftBank-Backed Habi Buys Mexican Real Estate Tech Startup（抜粋）",2022年1月20日 8:34 JST
2022-01-21,https://www.bloomberg.co.jp/news/articles/2022-01-21/R62MENDWRGG001,【米国市況】株続落、週間で20年３月以来の大幅安－ハイテク売り続く,著者情報なし,"21日の米株式相場は続落。新型コロナウイルス禍で最初に市場が動揺した約２年前以来、最悪の週となった。一部の企業決算の弱さを受けて荒い値動きとなり、金利先高観が投資家を神経質にする中、ハイテク株が売りを浴びた。
Ｓ＆Ｐ500種株価指数はテクニカル上の節目である200日移動平均を、2020年より後では初めて下回って引けた。ハイテク株の比重が高いナスダック100種指数の下げが目立った。中でもネットフリックスは20％を超える値下がり。暗号資産（仮想通貨）全般に売りが続き、ビットコインも急落。一時３万8000ドルを割り込み、約５カ月ぶり安値を付けた。
Ｓ＆Ｐ500種は前日比1.9％下げて4397.94。ダウ工業株30種平均は450.02ドル（1.3％）安の34265.37ドル。ナスダック総合指数は2.7％下落した。
月初からのボラティリティーは静まる兆しを見せていない。Ｓ＆Ｐ500種は４日続落し、今週は5.7％安。祝日を含む週間ベースで20年３月以来の大幅安となった。規模３兆ドルを超えるオプションが最終取引を迎えたことも、相場の変動を増幅した。
ＴＰＷインベストメント・マネジメントの創業者で社長のジェイ・ペロスキー氏は、月曜が休場だったことに触れ「史上最長の短縮週だったように思う」と語る。「２週間を一つにまとめたような４日間だった」と振り返った。
米国債相場は上昇。朝方にまとまった買いが先物に入ったほか、終盤に株が売り込まれるにつれて国債が買われた。ショートの買い戻しが影響し、長期債が特に堅調。上昇局面ではオプションの弱気ポジションが手じまわれた。
ニューヨーク時間午後４時３分現在、10年債利回りは５ベーシスポイント（ｂｐ、１ｂｐ＝0.01％）下げて1.74％。一時は1.7315％に下げた。２－10年債、および５－30年債のスプレッドが縮小した。
外国為替市場では逃避先通貨が堅調。世界的に国債利回りが低下したことが背景にある。市場は米ロ間の緊張の高まりに身構えている。
主要10通貨に対するドルの動きを示すブルームバーグ・ドル・スポット指数は0.1％低下。ドルは対円で0.4％安の１ドル＝113円67銭。一時は113円61銭まで下げ、１月14日以来の安値を付けた。ユーロは対ドルで0.3％高い１ユーロ＝1.1343ドル。
ニューヨーク原油先物相場は続落。株式相場に加え、銅などの素材価格の下落につれて売りが優勢となった。ニューヨーク商業取引所（ＮＹＭＥＸ）のウェスト・テキサス・インターミディエート（ＷＴＩ）先物３月限は、前日比41セント（0.5％）安の１バレル＝85.14ドルで終了した。週間では５週連続高となった。ロンドンＩＣＥの北海ブレント３月限は前日比49セント安の87.89ドル。
ニューヨーク金先物相場は大幅安。米インフレ連動国債と利付き国債の利回り差が縮小し、売りが膨らんだ。ニューヨーク商品取引所（ＣＯＭＥＸ）の金先物４月限は0.6％安の１オンス＝1834.10ドルで終了した。ただ、週間では２週連続で上昇した。
原題：Tech Selloff Leads Stocks Lower; Bitcoin Sinks: Markets Wrap（抜粋）
Treasuries Rally and Yield Curve Flattens as Stocks Extend Rout（抜粋）
Haven Currencies Gain as Global Bond Yields Decline: Inside G-10（抜粋）
Oil Caps Fifth Weekly Gain After Touching Its Highest Since 2014（抜粋）
Gold Set for Second Weekly Gain With Inflation, Dollar in Focus（抜粋）
— 取材協力 Sunil Jagtiani, Thyagaraju Adinarayan, Jeran Wittenstein and Anchalee Worrachate",2022年1月22日 6:55 JST
2022-01-21,https://www.bloomberg.co.jp/news/articles/2022-01-21/R62SA2DWLU6C01,ゴールドマン､選ばれし約30人の最高幹部に新たな賞与計画-報酬膨らむ,著者情報なし,"米銀ゴールドマン・サックス・グループは、最高幹部に対する報酬支払いの新たな仕組みを計画している。同行では昨年の好業績を背景に特別報酬を出すなど、人件費が膨らんでいる。
まずは記録的な利益を上げたことによるボーナスの増額、さらに最も職位の高いパートナーには一度限りの株式報酬が付与される。
ゴールドマン、最上位１％幹部に一度限りの特別賞与－好成績に報いる
今回新たに分かったのは、社内の最高意思決定機関である経営委員会のメンバー約30人に対して、一層魅力ある株式報酬を用意していることだ。
事情に詳しい複数の関係者によると、このメンバーには長期の在職を促す目的で、ゴールドマンの株価があらかじめ設定された目標価格を達成した場合に売却が可能になる、新たな株式報酬を提供する。
ゴールドマンの広報担当者はこの報酬についてコメントを控えた。関係者によると、経営委員会メンバーに提供されるのは、デービッド・ソロモン最高経営責任者（ＣＥＯ）とジョン・ウォルドロン社長兼最高執行責任者（ＣＯＯ）に付与されたとして昨年10月に発表したインセンティブ報酬と似た仕組み。両氏は今回の報酬対象に含まれていない。
Goldman Dangles New Bonuses for Select Few on Top of Surging Pay（抜粋）",2022年1月22日 6:31 JST
2022-01-21,https://www.bloomberg.co.jp/news/articles/2022-01-21/R62U61DWLU6801,オミクロン再感染の確率極めて低い、少なくとも短期では－ファウチ氏,著者情報なし,"米国立アレルギー感染症研究所（ＮＩＡＩＤ）のファウチ所長は、新型コロナウイルスのオミクロン変異株に感染した人が再度感染する確率は、少なくとも短期間においては極めて低いとの見方を示した。
ファウチ氏は21日の記者会見で、新型コロナに再感染する例はあるが、「良好な免疫反応が得られた場合、少なくとも数カ月の間に同じ変異株に感染する確率は極めて低い」と話した。
ただし、ワクチン接種と過去の感染で得られた防御をすり抜ける新たな変異株が出現するという「最悪のシナリオ」にも米国は備える必要があるとし、注意を呼び掛けた。
Omicron Reinfections Unlikely Over Several Months, Fauci Says（抜粋）",2022年1月22日 6:20 JST
2022-01-26,https://www.bloomberg.co.jp/news/articles/2022-01-26/R6C5U2DWLU6Y01,ＥＣＢ、欧州銀のロシアリスク評価に動くと関係者－ウクライナ危機で,著者情報なし,"欧州中央銀行（ＥＣＢ）は、ロシアのウクライナ侵攻に伴う影響に備え、監督する金融機関に対し、ロシアへのエクスポージャーに関する情報提供を求めている。事情に詳しい複数の関係者が明らかにした。
非公開情報を理由に関係者が匿名を条件に語ったところでは、ＥＣＢは対ロシア制裁を含む異なるシナリオへの金融機関の対応を尋ねているという。ＥＣＢの報道官は、コメントを控えている。
ＥＣＢが提示したシナリオには、国際銀行間通信協会（ＳＷＩＦＴ、スイフト）が運営する国際送金・決済システムへのロシアの銀行のアクセスを遮断する動きも含まれると英紙フィナンシャル・タイムズ（ＦＴ）が先に報じていた。
最近数年で複数の国際金融機関がロシア業務を縮小しているが、欧州連合（ＥＵ）の銀行監督機関である欧州銀行監督機構（ＥＢＡ）のデータによれば、欧州の大手行のうち、仏銀ソシエテ・ジェネラル、イタリアの銀行ウニクレディト、ライファイゼン・バンク・インターナショナルは、ロシアでのプレゼンスを維持している。
一方、ＥＣＢの政策委員会メンバー、リトアニア銀行（中銀）のシムカス総裁はインタビューで、「情勢が不確実性を増しており、エスカレートすれば、リトアニアおよびユーロ圏経済に影響が出るのは明らかだ」と述べ、「それは経済的富への多大な損失というだけでなく人命が失われることも意味する」と警告した。
原題：ECB Said to Quiz Banks on Russia Exposure With Tensions Rising､ECB Warns European Lenders on Russia Sanctions Risk: FT､ECB’s Simkus Warns of Major Economic Risk From Ukraine Tensions（抜粋）",2022年1月27日 8:24 JST
