asset,date,CURRENCY,px_last,ret,sigma,is_jump,jump_width,duration,trend_type,news_titles
NKY Index,2022-01-19,JPY,27467.23,-0.0279581346380132,0.0123176334589441,True,-0.0279581346380132,0,short_term,コロナワクチン接種より感染による免疫力強い、デルタ拡大期－米調査 | 金正恩氏、核実験やＩＣＢＭ発射実験の再開示唆－米の敵対行為に対抗 | ソフトバンクＧ出資ハビ、メキシコ不動産ハイテクスタートアップ買収
NKY Index,2022-01-27,JPY,26170.3,-0.0311361935898751,0.0118812328263087,True,-0.0311361935898751,0,short_term,ソフトバンクＧのクラウレＣＯＯは今後数週間に退社計画－関係者 | ブラックストーン、手元資金10－12月に急増－運用資産１兆ドルに接近 | ビザとマスターカード、10－12月カード支出急増－コロナ逆風に耐える
NKY Index,2022-02-16,JPY,27460.4,0.0221554360866236,0.0105626165672235,True,0.0221554360866236,0,short_term,ウォール街オフィス復帰へ、ＳＥＣやＯＣＣがそれでも在宅続ける理由 | ＡＩＧの10－12月利益が予想上回る、７四半期連続－保険引き受け堅調 | 香港が域内全域で新型コロナ検査へ、３月に－地元メディア
NKY Index,2022-03-07,JPY,25221.41,-0.0294033550287911,0.0131556145349732,True,-0.0294033550287911,2,short_term,英はリセッション入りも、足元のエネルギー価格継続なら－ＮＩＥＳＲ | ロシア、ノルドストリーム１経由の欧州への天然ガス供給遮断も辞さず | ＬＭＥニッケル最高値更新－ロシア供給不安でショートスクイーズ
NKY Index,2022-03-10,JPY,25690.4,0.0393595152913743,0.0155858512285509,True,0.0393595152913743,0,short_term,北朝鮮の最近のミサイル試射、ＩＣＢＭ技術の試験が目的－米高官 | 小麦先物急落、トレーダーは需要とウクライナ情勢を両にらみ | 東芝の２社分割計画への反対を勧告－議決権行使助言会社グラスルイス
NKY Index,2022-03-17,JPY,26652.89,0.0345811526352175,0.0171774455921208,True,0.0345811526352175,10,long_term,米下院、ロシアの最恵国待遇を撤回する法案可決－上院に送付 | ソフトバンクＧ出資のオヨ、ＩＰＯ規模縮小や計画棚上げ検討－関係者 | ロシアを「ＣＣ」に格下げ、支払い履行されないリスク－Ｓ＆Ｐ
NKY Index,2022-04-12,JPY,26334.98,-0.0181399115337237,0.0074752106203415,True,-0.0181399115337237,0,short_term,ビットコイン４万ドル割れ－シバイヌは急伸、ロビンフッドで取引開始 | リッチモンド連銀総裁、最善の道は中立レンジへの迅速な利上げ | ブレイナード理事、「整然とした」引き締めで政策を中立水準へ
NKY Index,2022-04-13,JPY,26843.49,0.0193092988868797,0.0089399226299568,True,0.0193092988868797,1,short_term,ドル・円ピークアウトはＧＷ明けか、当面は130円突破のリスク | アップル、MacBook Pro出荷に遅れ－中国のロックダウンが生産に影響 | ロシアの要求は制裁違反、ガス代金ルーブル払い－ＥＵが加盟国に警告
NKY Index,2022-05-09,JPY,26319.34,-0.0253381406007208,0.0101900743149979,True,-0.0253381406007208,1,short_term,ゴールドマンなどのＳ＆Ｐ500種見通しに変化－先行き厳しいと認める | ツイッター株下落、買収予定額引き下げのリスクとヒンデンバーグ | 米ＦＲＢ、市場全般での流動性巡る状況悪化を警告－金融安定報告
NKY Index,2022-05-13,JPY,26427.65,0.0263675242885859,0.0115370685587102,True,0.0263675242885859,5,long_term,【米国市況】株上昇、ＦＲＢ議長発言でやや安心感－ドル129円台前半 | サマーズ氏、米民主党の物価対策酷評－トランプ氏の消毒剤注射に例え | ツイッターＣＥＯ、マスク氏との合意は「完了する」と想定
NKY Index,2022-05-30,JPY,27369.43,0.0219459720226662,0.0109488316396742,True,0.0219459720226662,0,short_term,アジア株は横ばいスタートか、インフレ懸念の中－ＮＹ原油先物上昇 | 金相場上昇、先週の上げを維持－リスクセンチメント改善でドル下落 | 【ウクライナ】ＥＵがロシア産石油の一部禁輸で合意、制裁第６弾へ
NKY Index,2022-06-13,JPY,26987.44,-0.0300762391421309,0.0103112950697293,True,-0.0300762391421309,2,short_term,米中高官、台湾情勢など安全保障を協議－サリバン大統領補佐官と楊氏 | マイクロストラテジー株急落、ビットコイン関連損失10億ドルに接近 | オラクル株急伸、３－５月売上高と利益が市場予想上回る
NKY Index,2022-07-20,JPY,27680.26,0.0266519000299683,0.0102752059638117,True,0.0266519000299683,4,short_term,テスラがビットコインの大半売却、法定通貨に転換し現金最大化 | ドル建て日経平均、円安下でも底入れの兆し－海外勢心理に変化の期待 | バイデン氏、10日以内の米中首脳会談見込む－関税撤回検討する中
